system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0020,val_tune,16,zscore,0.0,0.0,1.0,0.0,0.460903,0.231917,0.371567,0.371567,0.210265,0.470246,0.670344,0.450285,23.59375
custom_0532,val_tune,16,zscore,1.0,0.25,0.25,0.5,0.463698,0.23822,0.380557,0.380557,0.276686,0.392938,0.679508,0.449711,23.265625
logprob_plus_factcc,val_tune,16,zscore,0.5,0.0,0.5,0.0,0.458302,0.22614,0.369681,0.369681,0.240535,0.454711,0.653766,0.449671,23.328125
custom_0130,val_tune,16,zscore,0.25,0.0,0.25,0.0,0.458302,0.22614,0.369681,0.369681,0.240535,0.454711,0.653766,0.449671,23.328125
custom_0260,val_tune,16,zscore,0.5,0.0,0.5,0.0,0.458302,0.22614,0.369681,0.369681,0.240535,0.454711,0.653766,0.449671,23.328125
custom_0390,val_tune,16,zscore,0.75,0.0,0.75,0.0,0.458302,0.22614,0.369681,0.369681,0.240535,0.454711,0.653766,0.449671,23.328125
custom_0520,val_tune,16,zscore,1.0,0.0,1.0,0.0,0.458302,0.22614,0.369681,0.369681,0.240535,0.454711,0.653766,0.449671,23.328125
custom_0229,val_tune,16,zscore,0.25,1.0,0.0,1.0,0.459333,0.234311,0.376997,0.376997,0.337495,0.324708,0.686553,0.449586,23.21875
custom_0477,val_tune,16,zscore,0.75,1.0,0.0,0.5,0.460041,0.234137,0.377992,0.377992,0.333668,0.333479,0.681287,0.449478,23.359375
custom_0559,val_tune,16,zscore,1.0,0.5,0.25,1.0,0.473445,0.245038,0.384896,0.384896,0.299257,0.360782,0.687905,0.449314,23.5
custom_0027,val_tune,16,zscore,0.0,0.25,0.0,0.5,0.466596,0.238037,0.383482,0.383482,0.325292,0.326596,0.694119,0.448669,23.40625
custom_0054,val_tune,16,zscore,0.0,0.5,0.0,1.0,0.466596,0.238037,0.383482,0.383482,0.325292,0.326596,0.694119,0.448669,23.40625
custom_0204,val_tune,16,zscore,0.25,0.75,0.0,1.0,0.461125,0.234615,0.377908,0.377908,0.332457,0.324185,0.688948,0.44853,23.296875
custom_0076,val_tune,16,zscore,0.0,0.75,0.0,0.25,0.458047,0.23098,0.376607,0.376607,0.34205,0.320122,0.683377,0.448516,23.0625
custom_0513,val_tune,16,zscore,1.0,0.0,0.5,0.75,0.466358,0.23743,0.377333,0.377333,0.23121,0.42934,0.68498,0.44851,23.546875
custom_0405,val_tune,16,zscore,0.75,0.25,0.25,0.0,0.456954,0.231009,0.373561,0.373561,0.286732,0.409418,0.649068,0.448406,23.234375
custom_0051,val_tune,16,zscore,0.0,0.5,0.0,0.25,0.458174,0.231749,0.377078,0.377078,0.341443,0.31857,0.684397,0.448137,23.21875
custom_0102,val_tune,16,zscore,0.0,1.0,0.0,0.5,0.458174,0.231749,0.377078,0.377078,0.341443,0.31857,0.684397,0.448137,23.21875
custom_0326,val_tune,16,zscore,0.5,0.75,0.0,0.25,0.460622,0.235228,0.378573,0.378573,0.335524,0.332434,0.676168,0.448042,23.4375
custom_0077,val_tune,16,zscore,0.0,0.75,0.0,0.5,0.457203,0.231383,0.376417,0.376417,0.341203,0.317,0.684748,0.44765,23.296875
custom_0103,val_tune,16,zscore,0.0,1.0,0.0,0.75,0.457201,0.230939,0.376504,0.376504,0.339696,0.31685,0.686395,0.447647,23.1875
custom_0351,val_tune,16,zscore,0.5,1.0,0.0,0.25,0.462486,0.234695,0.379359,0.379359,0.336771,0.330567,0.675359,0.447566,23.203125
custom_0026,val_tune,16,zscore,0.0,0.25,0.0,0.25,0.458677,0.230904,0.376951,0.376951,0.338871,0.316528,0.687129,0.447509,23.3125
custom_0052,val_tune,16,zscore,0.0,0.5,0.0,0.5,0.458677,0.230904,0.376951,0.376951,0.338871,0.316528,0.687129,0.447509,23.3125
custom_0078,val_tune,16,zscore,0.0,0.75,0.0,0.75,0.458677,0.230904,0.376951,0.376951,0.338871,0.316528,0.687129,0.447509,23.3125
